Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Curated GO Functions	Computed GO Functions	Evidence Code	EC numbers	
ACA1_091720	ACA1_091720-t26_1	A. castellanii str. Neff	KB008103:188,511..188,723(+)	ATP synthase subunit epsilon, mitochondrial, putative	N/A	proton-transporting ATP synthase activity, rotational mechanism	IEA	N/A	
ACA1_092130	ACA1_092130-t26_1	A. castellanii str. Neff	KB008103:276,906..283,677(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_094280	ACA1_094280-t26_1	A. castellanii str. Neff	KB008103:740,913..741,566(+)	enhancer of rudimentary family protein	N/A	N/A	IEA	N/A	
ACA1_097130	ACA1_097130-t26_1	A. castellanii str. Neff	KB008103:1,165,083..1,171,477(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097260	ACA1_097260-t26_1	A. castellanii str. Neff	KB008103:1,192,987..1,199,163(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097270	ACA1_097270-t26_1	A. castellanii str. Neff	KB008103:1,199,771..1,205,931(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097300	ACA1_097300-t26_1	A. castellanii str. Neff	KB008103:1,211,883..1,217,832(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097510	ACA1_097510-t26_1	A. castellanii str. Neff	KB008103:1,259,074..1,265,326(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097530	ACA1_097530-t26_1	A. castellanii str. Neff	KB008103:1,267,995..1,274,435(+)	unspecified product	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_097540	ACA1_097540-t26_1	A. castellanii str. Neff	KB008103:1,274,542..1,279,708(-)	serine/threonine kinase	N/A	ATP binding;hydrolase activity;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_098180	ACA1_098180-t26_1	A. castellanii str. Neff	KB008103:1,416,553..1,423,246(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_098240	ACA1_098240-t26_1	A. castellanii str. Neff	KB008103:1,434,856..1,441,229(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_098980	ACA1_098980-t26_1	A. castellanii str. Neff	KB007910:76,797..82,225(-)	serine/threonine kinase	N/A	ATP binding;hydrolase activity;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_100540	ACA1_100540-t26_1	A. castellanii str. Neff	KB008097:103,705..109,351(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_100660	ACA1_100660-t26_1	A. castellanii str. Neff	KB008097:140,806..147,335(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_106300	ACA1_106300-t26_1	A. castellanii str. Neff	KB008060:78,059..82,433(+)	phosphoribosylaminoimidazole carboxylase, ATPase subunit	N/A	ATP binding;metal ion binding;phosphoribosylaminoimidazole carboxylase activity	IEA	N/A	
ACA1_109130	ACA1_109130-t26_1	A. castellanii str. Neff	KB008174:121,943..127,953(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_114280	ACA1_114280-t26_1	A. castellanii str. Neff	KB007926:448,259..451,103(-)	unspecified product	N/A	ATP binding;pantothenate kinase activity	IEA	N/A	
ACA1_114930	ACA1_114930-t26_1	A. castellanii str. Neff	KB007926:588,090..593,206(+)	adenylate and guanylate cyclase catalytic domain containing protein	N/A	phosphorus-oxygen lyase activity	IEA	N/A	
ACA1_116500	ACA1_116500-t26_1	A. castellanii str. Neff	KB007926:764,816..768,266(-)	NAD(+)/NADH kinase	N/A	NAD+ kinase activity	IEA	N/A	
ACA1_117180	ACA1_117180-t26_1	A. castellanii str. Neff	KB007926:934,208..940,519(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_122380	ACA1_122380-t26_1	A. castellanii str. Neff	KB008151:136,636..143,189(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_123510	ACA1_123510-t26_1	A. castellanii str. Neff	KB007843:33,505..43,240(-)	serine/threonineprotein kinase/receptor	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_138070	ACA1_138070-t26_1	A. castellanii str. Neff	KB007956:85,084..91,470(-)	protein kinase domain containing protein	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_145240	ACA1_145240-t26_1	A. castellanii str. Neff	KB008171:67,937..75,638(-)	phosphate ABC transporter, phosphate-binding protein PstS protein	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_157080	ACA1_157080-t26_1	A. castellanii str. Neff	KB008109:73,510..80,709(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_164380	ACA1_164380-t26_1	A. castellanii str. Neff	KB008026:219,760..225,326(+)	protein kinase domain containing protein	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_164700	ACA1_164700-t26_1	A. castellanii str. Neff	KB008026:253,072..255,738(+)	GMPS family protein	N/A	ATP binding;GMP synthase (glutamine-hydrolyzing) activity;pyrophosphatase activity	IEA	N/A	
ACA1_165850	ACA1_165850-t26_1	A. castellanii str. Neff	KB007830:101,442..108,035(-)	protein kinase domain containing protein	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_171280	ACA1_171280-t26_1	A. castellanii str. Neff	KB007811:62,109..65,736(+)	nicotinate phosphoribosyltransferase	N/A	nicotinate phosphoribosyltransferase activity;nicotinate-nucleotide diphosphorylase (carboxylating) activity	IEA	6.3.4.21 (Nicotinate phosphoribosyltransferase)	
ACA1_173790	ACA1_173790-t26_1	A. castellanii str. Neff	KB007811:519,632..521,044(+)	nicotinate (nicotinamide) nucleotide adenylyltransferase	N/A	catalytic activity;nucleotidyltransferase activity	IEA	2.7.7.1 (Nicotinamide-nucleotide adenylyltransferase);2.7.7.18 (Nicotinate-nucleotide adenylyltransferase)	
ACA1_174190	ACA1_174190-t26_1	A. castellanii str. Neff	KB007811:635,011..638,493(-)	nicotinate phosphoribosyltransferase	N/A	nicotinate phosphoribosyltransferase activity;nicotinate-nucleotide diphosphorylase (carboxylating) activity	IEA	N/A	
ACA1_175190	ACA1_175190-t26_1	A. castellanii str. Neff	KB007811:886,652..890,962(-)	6phosphofructokinase	N/A	6-phosphofructokinase activity;ATP binding	IEA	N/A	
ACA1_175380	ACA1_175380-t26_1	A. castellanii str. Neff	KB007811:941,199..943,535(-)	adenylosuccinate synthetase	N/A	GTP binding;adenylosuccinate synthase activity	IEA	6.3.4.4 (Adenylosuccinate synthase)	
ACA1_177380	ACA1_177380-t26_1	A. castellanii str. Neff	KB008006:51,964..54,033(+)	glucokinase	N/A	ATP binding;glucokinase activity;glucose binding	IEA	N/A	
ACA1_182310	ACA1_182310-t26_1	A. castellanii str. Neff	KB007904:179,021..181,129(-)	Adenylosuccinate lyase 1, putative	N/A	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;catalytic activity	IEA	4.3.2.2 (Adenylosuccinate lyase)	
ACA1_182320	ACA1_182320-t26_1	A. castellanii str. Neff	KB007904:181,328..184,503(+)	adenylosuccinate synthase	N/A	GTP binding;adenylosuccinate synthase activity	IEA	6.3.4.4 (Adenylosuccinate synthase)	
ACA1_184440	ACA1_184440-t26_1	A. castellanii str. Neff	KB007904:644,695..647,037(-)	soluble guanylyl cyclase beta1 subunit, putative	N/A	guanylate cyclase activity;heme binding	IEA	N/A	
ACA1_185310	ACA1_185310-t26_1	A. castellanii str. Neff	KB007920:88,368..90,439(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_187300	ACA1_187300-t26_1	A. castellanii str. Neff	KB008020:23,378..27,887(+)	heme NO binding domain containing protein	N/A	guanylate cyclase activity;heme binding	IEA	N/A	
ACA1_187310	ACA1_187310-t26_1	A. castellanii str. Neff	KB008020:28,252..32,669(+)	heme NO binding domain containing protein	N/A	guanylate cyclase activity;heme binding	IEA	N/A	
ACA1_188310	ACA1_188310-t26_1	A. castellanii str. Neff	KB008020:150,297..154,512(-)	hypothetical protein	N/A	guanylate cyclase activity	IEA	N/A	
ACA1_194610	ACA1_194610-t26_1	A. castellanii str. Neff	KB007917:4,312..8,253(+)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_201580	ACA1_201580-t26_1	A. castellanii str. Neff	KB007932:593,466..595,213(+)	6-phosphofructokinase precursor family protein	N/A	6-phosphofructokinase activity;ATP binding;phosphofructokinase activity	IEA	N/A	
ACA1_202730	ACA1_202730-t26_1	A. castellanii str. Neff	KB008001:92,577..99,518(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_224560	ACA1_224560-t26_1	A. castellanii str. Neff	KB008010:227,496..235,299(+)	phosphate ABC transporter, phosphatebinding protein PstS, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_248820	ACA1_248820-t26_1	A. castellanii str. Neff	KB007971:125,571..132,382(+)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_250310	ACA1_250310-t26_1	A. castellanii str. Neff	KB007861:45,910..48,429(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_254890	ACA1_254890-t26_1	A. castellanii str. Neff	KB007885:434,052..442,263(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_255410	ACA1_255410-t26_1	A. castellanii str. Neff	KB007885:487,614..494,625(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_260110	ACA1_260110-t26_1	A. castellanii str. Neff	KB008148:433,297..434,964(-)	nicotinate phosphoribosyltransferase, (NAPRTase) subfamily protein	N/A	nicotinate-nucleotide diphosphorylase (carboxylating) activity	IEA	N/A	
ACA1_261000	ACA1_261000-t26_1	A. castellanii str. Neff	KB008148:573,012..579,541(-)	phosphate ABC transporter, phosphatebinding protein PstS, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_261400	ACA1_261400-t26_1	A. castellanii str. Neff	KB008148:657,702..663,962(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_261580	ACA1_261580-t26_1	A. castellanii str. Neff	KB008148:706,942..713,694(-)	unspecified product	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_263850	ACA1_263850-t26_1	A. castellanii str. Neff	KB007933:113,765..120,642(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_267080	ACA1_267080-t26_1	A. castellanii str. Neff	KB007933:786,754..794,181(+)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_269350	ACA1_269350-t26_1	A. castellanii str. Neff	KB007933:977,158..983,717(-)	phosphoribosylformylglycinamidine synthase	N/A	phosphoribosylformylglycinamidine synthase activity	IEA	N/A	
ACA1_269680	ACA1_269680-t26_1	A. castellanii str. Neff	KB007933:1,015,100..1,017,975(-)	orotidine 5'phosphate decarboxylase	N/A	catalytic activity;orotate phosphoribosyltransferase activity;orotidine-5'-phosphate decarboxylase activity	IEA	N/A	
ACA1_270250	ACA1_270250-t26_1	A. castellanii str. Neff	KB007933:1,087,721..1,089,845(-)	adenylosuccinate lyase, putative	N/A	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;catalytic activity	IEA	4.3.2.2 (Adenylosuccinate lyase)	
ACA1_270360	ACA1_270360-t26_1	A. castellanii str. Neff	KB007933:1,117,206..1,122,040(-)	phosphoribosylamine-glycine ligase	N/A	ATP binding;hydroxymethyl-, formyl- and related transferase activity;metal ion binding;phosphoribosylamine-glycine ligase activity;phosphoribosylformylglycinamidine cyclo-ligase activity;phosphoribosylglycinamide formyltransferase activity	IEA	N/A	
ACA1_271340	ACA1_271340-t26_1	A. castellanii str. Neff	KB008049:22,563..23,833(-)	phosphoribosylpyrophosphate synthetase	N/A	magnesium ion binding;ribose phosphate diphosphokinase activity	IEA	N/A	
ACA1_271720	ACA1_271720-t26_1	A. castellanii str. Neff	KB008049:88,899..93,587(-)	GTPaseactivator protein for Ras-like GTPase	N/A	guanylate cyclase activity;heme binding	IEA	N/A	
ACA1_275720	ACA1_275720-t26_1	A. castellanii str. Neff	KB008032:92,277..94,014(+)	Enolase, Cterminal TIM barrel domain containing protein	N/A	magnesium ion binding;phosphopyruvate hydratase activity	IEA	N/A	
ACA1_279330	ACA1_279330-t26_1	A. castellanii str. Neff	KB007908:359,630..366,757(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_280600	ACA1_280600-t26_1	A. castellanii str. Neff	KB007908:503,348..504,340(+)	phosphoribosylpyrophosphate synthetase	N/A	magnesium ion binding;ribose phosphate diphosphokinase activity	IEA	N/A	
ACA1_282970	ACA1_282970-t26_1	A. castellanii str. Neff	KB007908:755,991..757,273(+)	dephosphoCoA kinase	N/A	ATP binding;dephospho-CoA kinase activity	IEA	N/A	
ACA1_284230	ACA1_284230-t26_1	A. castellanii str. Neff	KB007908:893,439..895,644(-)	pyruvate kinase, barrel domain containing protein	N/A	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	IEA	2.7.1.40 (Pyruvate kinase)	
ACA1_290230	ACA1_290230-t26_1	A. castellanii str. Neff	KB007805:560,060..566,837(+)	phosphate ABC transporter, phosphatebinding protein PstS, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_290300	ACA1_290300-t26_1	A. castellanii str. Neff	KB007805:580,604..584,913(-)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_296510	ACA1_296510-t26_1	A. castellanii str. Neff	KB007805:1,364,758..1,371,413(+)	phosphate ABC transporter, phosphatebinding protein PstS, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_314000	ACA1_314000-t26_1	A. castellanii str. Neff	KB008141:751..1,815(+)	ATP synthase F1, gamma subunit	N/A	proton-transporting ATP synthase activity, rotational mechanism	IEA	N/A	
ACA1_321620	ACA1_321620-t26_1	A. castellanii str. Neff	KB007957:24,517..27,347(-)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_325420	ACA1_325420-t26_1	A. castellanii str. Neff	KB007891:3,618..4,943(+)	quinolinate phosphoribosyl transferase, cterminal domain containing protein	N/A	nicotinate-nucleotide diphosphorylase (carboxylating) activity;transferase activity, transferring pentosyl groups	IEA	2.4.2.19 (Nicotinate-nucleotide diphosphorylase (carboxylating))	
ACA1_333290	ACA1_333290-t26_1	A. castellanii str. Neff	KB007819:33,343..40,191(+)	serine/threonine protein kinase, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
