Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL	
EMH_0068330	EMH_0068330-t26_1	Eimeria mitis Houghton	HG683436:129..5,439(+)	phosphofructokinase, putative	GO:0005737;GO:0016021	cytoplasm;integral component of membrane	GO:0003872;GO:0005524;GO:0047334;GO:0046872	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity;metal ion binding	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
GL50581_4115	GL50581_4115-t26_1	Giardia Assemblage B isolate GS	ACGJ01002920:57,570..58,541(+)	Fructose-bisphosphate aldolase	N/A	N/A	GO:0016832;GO:0003824;GO:0004332;GO:0008270	aldehyde-lyase activity;catalytic activity;fructose-bisphosphate aldolase activity;zinc ion binding	GO:0005975;GO:0030388;GO:0006096	carbohydrate metabolic process;fructose 1,6-bisphosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
GL50803_6687	GL50803_6687-t26_1	Giardia Assemblage A isolate WB	GLCHR05:3,056,628..3,057,638(-)	Glyceraldehyde 3-phosphate dehydrogenase	N/A	N/A	GO:0051287;GO:0050661;GO:0016620	NAD binding;NADP binding;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0006006;GO:0055114	glucose metabolic process;oxidation-reduction process	GO:0005829	cytosol	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	GO:0006096	glycolytic process	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
GLP15_5089	GLP15_5089-t26_1	Giardia Assemblage E isolate P15	ACVC01000220:5,275..6,909(+)	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase alpha subunit	GO:0005737	cytoplasm	GO:0003872;GO:0005524;GO:0047334;GO:0046872	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity;metal ion binding	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
GNI_179490	GNI_179490-t26_1	Gregarina niphandrodes Unknown strain	KK211514:39,767..41,070(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
GY17_00002663	GY17_00002663-t36_1	Cryptosporidium hominis isolate 30976	JTAI01000028:161,585..165,413(+)	ATP-dependent 6-phosphofructokinase	N/A	N/A	GO:0003872;GO:0005524;GO:0047334	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
H257_00986	H257_00986-t26_1	Aphanomyces astaci strain APO3	KI913115:154,355..156,303(-)	glyceraldehyde-3-phosphate dehydrogenase	N/A	N/A	GO:0051287;GO:0050661;GO:0003824;GO:0016620;GO:0004807	NAD binding;NADP binding;catalytic activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;triose-phosphate isomerase activity	GO:0006006;GO:0006096;GO:0055114	glucose metabolic process;glycolytic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating));5.3.1.1 (Triose-phosphate isomerase)	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
H257_15292	H257_15292-t26_1	Aphanomyces astaci strain APO3	KI913181:275,531..280,286(+)	hypothetical protein	N/A	N/A	GO:0016773	phosphotransferase activity, alcohol group as acceptor	GO:0005975;GO:0006096	carbohydrate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
H310_00589	H310_00589-t26_1	Aphanomyces invadans NJM9701	KI913952:1,896,533..1,898,532(+)	pyruvate kinase	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
HEP_00482700	HEP_00482700_t1	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	CABPSV020001609:235..1,281(+)	pyruvate kinase, putative	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
HHA_299070	HHA_299070-t26_1	Hammondia hammondi strain H.H.34	KL544036:1,595,332..1,598,211(+)	pyruvate kinase PyKII	GO:0045177;GO:0020011;GO:0005739	apical part of cell;apicoplast;mitochondrion	GO:0016830;GO:0003824;GO:0000287;GO:0030955;GO:0004743	carbon-carbon lyase activity;catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006725;GO:0006096	cellular aromatic compound metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
KM1_287560	KM1_287560-t26_1	Entamoeba histolytica HM-3:IMSS	KB637140:56..2,832(-)	pyruvate,orthophosphate dikinase	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0046872;GO:0050242;GO:0016772	ATP binding;catalytic activity;kinase activity;metal ion binding;pyruvate, phosphate dikinase activity;transferase activity, transferring phosphorus-containing groups	GO:0016310;GO:0006090	phosphorylation;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.9.1 (Pyruvate, phosphate dikinase)	2.7.9.1 (Pyruvate, phosphate dikinase)	
LBRM2903_140017700	LBRM2903_140017700.1	Leishmania braziliensis MHOM/BR/75/M2903	LbrM2903_14:503,836..505,125(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
LPMP_352400	LPMP_352400-t37_1	Leishmania panamensis strain MHOM/PA/94/PSC-1	CP009404:889,418..890,653(+)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
LdBPK.12.2.000490	LdBPK.12.2.000490.1	Leishmania donovani strain LV9	LdLV9_12_v1_pilon:297,929..299,746(+)	Phosphoglucose isomerase, putative	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	
Lsey_0046_0300	rna_Lsey_0046_0300-1	Leptomonas seymouri ATCC 30220	Lsey_0046:98,635..99,858(+)	glucokinase 1-like protein	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	
MONOS_4492	MONOS_4492.1	Monocercomonoides exilis PA203	Mono_scaffold00120:43,668..45,257(-)	enolase (ENO)	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PCHAS_1215000	PCHAS_1215000.1	Plasmodium chabaudi chabaudi	PCHAS_12_v3:523,985..525,492(+)	enolase, putative	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PGAL8A_00100500	PGAL8A_00100500.1	Plasmodium gallinaceum 8A	PGAL8A_union_v1_archived_contig_62:296,383..297,819(+)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative	N/A	N/A	GO:0051539;GO:0051745;GO:0046872	4 iron, 4 sulfur cluster binding;4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding	GO:0050992;GO:0019288	dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	
PGAL8A_00155300	PGAL8A_00155300.1	Plasmodium gallinaceum 8A	PGAL8A_union_v1_archived_contig_65:1,038,896..1,041,050(+)	pyruvate kinase, putative	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PHPALM_17728	PHPALM_17728-t46_1	Phytophthora palmivora var. palmivora strain sbr112.9	NCKW01009624:1,301..2,359(-)	GlucoKinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
PHYCA_511075	PHYCA_511075T0	Phytophthora capsici LT1534	PcapLT1534_SC074:113,284..114,210(+)	 phosphoglyceromutase 	N/A	N/A	GO:0046538;GO:0046537;GO:0003824;GO:0016868;GO:0004619	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity;2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity;catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096;GO:0008152	glycolytic process;metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
PHYCA_561936	PHYCA_561936T0	Phytophthora capsici LT1534	PcapLT1534_SC008:442,614..444,469(+)	 glucose-6-phosphate isomerase 	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
PHYCI_95737	PHYCI_95737T0	Phytophthora cinnamomi var. cinnamomi CBS 144.22	PcinCBS144-22_SC0101:186,435..188,042(+)	unspecified product	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
PHYSODRAFT_562723	PHYSODRAFT_562723-t26_1	Phytophthora sojae strain P6497	JH159157:561,636..563,188(-)	hypothetical protein	GO:0045254	pyruvate dehydrogenase complex	GO:0004742;GO:0016746	dihydrolipoyllysine-residue acetyltransferase activity;transferase activity, transferring acyl groups	GO:0006090	pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)	
PKNOH_S110084500	PKNOH_S110084500-t35_1	Plasmodium knowlesi strain Malayan Strain Pk1 A	NETL01000025:620,111..621,670(-)	putative 1-deoxy-D-xylulose 5-phosphate reductoisomerase	N/A	N/A	GO:0030604;GO:0070402;GO:0016853;GO:0046872;GO:0005515	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;NADPH binding;isomerase activity;metal ion binding;protein binding	GO:0019288;GO:0008299;GO:0055114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;isoprenoid biosynthetic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	
PPRFG01_1120800	PPRFG01_1120800.1	Plasmodium praefalciparum strain G01	PPRFG01_11:795,556..796,683(+)	phosphoglycerate mutase, putative	N/A	N/A	GO:0003824;GO:0016868;GO:0004619	catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
PPRFG01_1467900	PPRFG01_1467900.1	Plasmodium praefalciparum strain G01	PPRFG01_14:2,754,160..2,755,626(+)	1-deoxy-D-xylulose 5-phosphate reductoisomerase	N/A	N/A	GO:0030604;GO:0070402;GO:0016853;GO:0046872;GO:0005515	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;NADPH binding;isomerase activity;metal ion binding;protein binding	GO:0019288;GO:0008299;GO:0055114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;isoprenoid biosynthetic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	
PPTG_17984	PPTG_17984-t26_1	Phytophthora parasitica INRA-310	KI669637:177,654..179,529(-)	hypothetical protein	N/A	N/A	GO:0003824;GO:0004739	catalytic activity;pyruvate dehydrogenase (acetyl-transferring) activity	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	N/A	N/A	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
PSURA_72261	PSURA_72261T0	Phytophthora ramorum strain Pr102	PramPr-102_SC0121:5,960..7,204(-)	3-phosphoglycerate kinase	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	GO:0005829	cytosol	GO:0043531;GO:0005524;GO:0004618	ADP binding;ATP binding;phosphoglycerate kinase activity	GO:0006094;GO:0006096;GO:1903862	gluconeogenesis;glycolytic process;positive regulation of oxidative phosphorylation	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
PVP01_0821400	PVP01_0821400.1	Plasmodium vivax P01	PvP01_08_v2:932,809..935,801(-)	triosephosphate isomerase, putative	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
PYU1_G008512	PYU1_T008528	Globisporangium ultimum DAOM BR144	PultDAOMBR144_SC2016:249,275..250,351(+)	unspecified product	N/A	N/A	GO:0016832;GO:0003824;GO:0004332;GO:0008270	aldehyde-lyase activity;catalytic activity;fructose-bisphosphate aldolase activity;zinc ion binding	GO:0005975;GO:0006096	carbohydrate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
PfGA01_140050300	PfGA01_140050300-t41_1	Plasmodium falciparum GA01	PfGA01_14:1,861,890..1,863,478(-)	fructose-bisphosphate aldolase	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
PfGN01_100021500	PfGN01_100021500-t41_1	Plasmodium falciparum GN01	PfGN01_10:661,919..663,796(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PfML01_060030600	PfML01_060030600-t41_1	Plasmodium falciparum ML01	PfML01_06:1,026,193..1,028,528(+)	pyruvate kinase	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PfML01_100040900	PfML01_100040900-t41_1	Plasmodium falciparum ML01	PfML01_10:1,428,439..1,430,673(-)	pyruvate kinase 2	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PmUG01_13024300	PmUG01_13024300.1	Plasmodium malariae UG01	PmUG01_13_v1:777,103..778,833(-)	glucose-6-phosphate isomerase, putative	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
PocGH01_12074900	PocGH01_12074900.1	Plasmodium ovale curtisi GH01	PocGH01_12_v2:2,704,563..2,705,828(-)	triosephosphate isomerase, putative	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
SN3_00101625	SN3_00101625-mRNA-1	Sarcocystis neurona SN3	sneu_scaffold00001:5,072,845..5,117,181(+)	phosphofructokinase domain-containing protein	N/A	N/A	GO:0003872	6-phosphofructokinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
SRCN_706	SRCN_706.mRNA	Sarcocystis neurona SO SN1	SnSN1_scaffold00002:2,787,817..2,789,343(+)	unspecified product	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
TA04045	TA04045-t26_1	Theileria annulata strain Ankara	CR940352:729,455..731,380(+)	glucose-6-phosphate isomerase, putative	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
TA08590	TA08590-t26_1	Theileria annulata strain Ankara	CR940353:938,350..939,577(+)	triosephosphate isomerase, putative	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
TCDM_00417	TCDM_00417-t26_1	Trypanosoma cruzi Dm28c 2014	AYLP01000003:3,615..5,114(-)	pyruvate kinase 2	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
TCSYLVIO_003370	TCSYLVIO_003370-t26_1	Trypanosoma cruzi Sylvio X10/1-2012	ADWP02013261:1,387..2,970(+)	PAS-domain containing phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096;GO:0006355	glycolytic process;regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
TGARI_321900	TGARI_321900-t30_1	Toxoplasma gondii ARI	KQ973613:164,438..165,010(+)	fructose-1,6-bisphosphate aldolase	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
