Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Curated GO Functions	Computed GO Functions	Evidence Code	EC numbers	
A8A55_0531	A8A55_0531-t41_1	A. sp. WSBS2006	MKPU01000013:30,840..32,597(+)	methionyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;methionine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0564	A8A55_0564-t41_1	A. sp. WSBS2006	MKPU01000014:32,537..33,841(+)	histidyl-tRNA synthetase	N/A	ATP binding;histidine-tRNA ligase activity	IEA	N/A	
A8A55_0597	A8A55_0597-t41_1	A. sp. WSBS2006	MKPU01000016:3..1,505(+)	glutaminyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0774	A8A55_0774-t41_1	A. sp. WSBS2006	MKPU01000022:31,169..32,827(-)	lysyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A8A55_0778	A8A55_0778-t41_1	A. sp. WSBS2006	MKPU01000023:5,549..7,075(+)	prolyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
A8A55_0854	A8A55_0854-t41_1	A. sp. WSBS2006	MKPU01000026:28,476..30,245(+)	cysteinyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0868	A8A55_0868-t41_1	A. sp. WSBS2006	MKPU01000027:16,346..17,749(+)	Glycine/serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	N/A	
A8A55_0914	A8A55_0914-t41_1	A. sp. WSBS2006	MKPU01000029:20,200..21,651(+)	phenylalanyl-tRNA synthetase alpha subunit	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding	IEA	N/A	
A8A55_0919	A8A55_0919-t41_1	A. sp. WSBS2006	MKPU01000029:29,027..30,589(-)	glutamyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0971	A8A55_0971-t41_1	A. sp. WSBS2006	MKPU01000032:18,141..20,819(-)	NAD-dependent glutamate dehydrogenase	N/A	oxidoreductase activity	IEA	N/A	
A8A55_0999	A8A55_0999-t41_1	A. sp. WSBS2006	MKPU01000033:25,605..27,320(+)	phenylalanyl-tRNA synthetase subunit beta	N/A	ATP binding;RNA binding;magnesium ion binding;nucleotide binding;phenylalanine-tRNA ligase activity	IEA	N/A	
A8A55_1027	A8A55_1027-t41_1	A. sp. WSBS2006	MKPU01000036:2,480..5,278(-)	valyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	IEA	N/A	
A8A55_1151	A8A55_1151-t41_1	A. sp. WSBS2006	MKPU01000042:6,823..8,847(+)	threonyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
A8A55_1168	A8A55_1168-t41_1	A. sp. WSBS2006	MKPU01000043:253..1,647(-)	asparagine synthase	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
A8A55_1192	A8A55_1192-t41_1	A. sp. WSBS2006	MKPU01000044:5,883..7,634(+)	arginyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_1326	A8A55_1326-t41_1	A. sp. WSBS2006	MKPU01000052:784..3,519(+)	alanyl-tRNA synthetase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A8A55_1724	A8A55_1724-t41_1	A. sp. WSBS2006	MKPU01000083:9,842..10,807(-)	aspartate-ammonia ligase	N/A	aspartate-ammonia ligase activity	IEA	N/A	
A8A55_1919	A8A55_1919-t41_1	A. sp. WSBS2006	MKPU01000107:9,321..12,338(+)	leucyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_1945	A8A55_1945-t41_1	A. sp. WSBS2006	MKPU01000111:2,026..3,393(-)	alanyl-tRNA synthetase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A8A55_2685	A8A55_2685-t41_1	A. sp. WSBS2006	MKPU01000321:2..631(-)	uncharacterized protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_2763	A8A55_2763-t41_1	A. sp. WSBS2006	MKPU01000359:339..1,946(-)	isoleucyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_2764	A8A55_2764-t41_1	A. sp. WSBS2006	MKPU01000359:2,210..3,331(-)	isoleucyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_2974	A8A55_2974-t41_1	A. sp. WSBS2006	MKPU01000494:479..2,203(-)	glycyl-tRNA synthetase	N/A	ATP binding;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_3071	A8A55_3071-t41_1	A. sp. WSBS2006	MKPU01000583:911..1,747(+)	tyrosyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	N/A	
A8A55_3204	A8A55_3204-t41_1	A. sp. WSBS2006	MKPU01000722:785..1,288(+)	alanyl-tRNA synthetase	N/A	ATP binding;alanine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
AAJ76_100022026	AAJ76_100022026-t41_1	N. ceranae strain PA08_1199	JPQZ01000001:20,683..22,026(-)	asparaginyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;asparagine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_100051557	AAJ76_100051557-t41_1	N. ceranae strain PA08_1199	JPQZ01000001:48,879..51,557(-)	alanyl-trna synthetase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	6.1.1.7 (Alanine--tRNA ligase)	
AAJ76_1170009424	AAJ76_1170009424-t41_1	N. ceranae strain PA08_1199	JPQZ01000117:8,027..9,424(-)	aspartyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_1400061810	AAJ76_1400061810-t41_1	N. ceranae strain PA08_1199	JPQZ01000014:61,810..63,234(+)	phenylalanyl-trna synthetase alpha chain	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding	IEA	N/A	
AAJ76_1800025228	AAJ76_1800025228-t41_1	N. ceranae strain PA08_1199	JPQZ01000018:23,324..25,228(-)	glutamyl trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_1800031824	AAJ76_1800031824-t41_1	N. ceranae strain PA08_1199	JPQZ01000018:30,541..31,824(-)	seryl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	IEA	N/A	
AAJ76_1800046124	AAJ76_1800046124-t41_1	N. ceranae strain PA08_1199	JPQZ01000018:46,124..47,623(+)	prolyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
AAJ76_1900020462	AAJ76_1900020462-t41_1	N. ceranae strain PA08_1199	JPQZ01000019:20,462..23,116(+)	leucyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_1900051237	AAJ76_1900051237-t41_1	N. ceranae strain PA08_1199	JPQZ01000019:49,819..51,237(-)	asparagine synthetase	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
AAJ76_200094385	AAJ76_200094385-t41_1	N. ceranae strain PA08_1199	JPQZ01000002:94,385..95,374(+)	tyrosyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	6.1.1.1 (Tyrosine--tRNA ligase)	
AAJ76_2100027669	AAJ76_2100027669-t41_1	N. ceranae strain PA08_1199	JPQZ01000021:27,669..29,318(+)	phenylalanyl-trna synthetase subunit beta	N/A	ATP binding;RNA binding;magnesium ion binding;nucleotide binding;phenylalanine-tRNA ligase activity	IEA	N/A	
AAJ76_2200048574	AAJ76_2200048574-t41_1	N. ceranae strain PA08_1199	JPQZ01000022:45,923..48,574(-)	valyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	IEA	N/A	
AAJ76_2500021695	AAJ76_2500021695-t41_1	N. ceranae strain PA08_1199	JPQZ01000025:21,695..22,711(+)	aspartate-ammonia ligase	N/A	aspartate-ammonia ligase activity	IEA	N/A	
AAJ76_300075549	AAJ76_300075549-t41_1	N. ceranae strain PA08_1199	JPQZ01000003:75,549..77,231(+)	methionyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;methionine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_300094826	AAJ76_300094826-t41_1	N. ceranae strain PA08_1199	JPQZ01000003:94,826..95,719(+)	tyrosyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_390004885	AAJ76_390004885-t41_1	N. ceranae strain PA08_1199	JPQZ01000039:2,999..4,885(-)	threonyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
AAJ76_5400021149	AAJ76_5400021149-t41_1	N. ceranae strain PA08_1199	JPQZ01000054:18,009..21,149(-)	isoleucyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;isoleucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_6000017598	AAJ76_6000017598-t41_1	N. ceranae strain PA08_1199	JPQZ01000060:16,441..17,598(-)	tryptophanyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	IEA	N/A	
AAJ76_600026681	AAJ76_600026681-t41_1	N. ceranae strain PA08_1199	JPQZ01000006:25,278..26,681(-)	cysteinyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_7000109198	AAJ76_7000109198-t41_1	N. ceranae strain PA08_1199	JPQZ01000007:109,198..111,285(+)	glutaminyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_7000115561	AAJ76_7000115561-t41_1	N. ceranae strain PA08_1199	JPQZ01000007:115,561..117,246(+)	arginyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_790008475	AAJ76_790008475-t41_1	N. ceranae strain PA08_1199	JPQZ01000079:6,712..8,475(-)	glycyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
AAJ76_800067210	AAJ76_800067210-t41_1	N. ceranae strain PA08_1199	JPQZ01000008:65,666..67,210(-)	lysyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	6.1.1.6 (Lysine--tRNA ligase)	
ACA1_002490	ACA1_002490-t26_1	A. castellanii str. Neff	KB007977:7,127..8,249(-)	threonine/alanine tRNA ligase subfamily protein	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
ACA1_009910	ACA1_009910-t26_1	A. castellanii str. Neff	KB008162:5,305..8,024(+)	glutamate-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding;tRNA binding	IEA	N/A	
ACA1_018140	ACA1_018140-t26_1	A. castellanii str. Neff	KB008079:14,159..18,084(-)	leucine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_031620	ACA1_031620-t26_1	A. castellanii str. Neff	KB008014:26,437..29,863(-)	prenylcysteine lyase, putative	N/A	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor	IEA	N/A	
ACA1_036340	ACA1_036340-t26_1	A. castellanii str. Neff	KB007868:80,855..83,290(+)	serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	2.1.2.1 (Glycine hydroxymethyltransferase)	
ACA1_037170	ACA1_037170-t26_1	A. castellanii str. Neff	KB007940:73,210..78,162(+)	hypothetical protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_037760	ACA1_037760-t26_1	A. castellanii str. Neff	KB008087:14,660..17,392(-)	threonine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
ACA1_038490	ACA1_038490-t26_1	A. castellanii str. Neff	KB008087:162,635..164,990(-)	asparagine synthase (glutaminehydrolyzing), putative	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
ACA1_039660	ACA1_039660-t26_1	A. castellanii str. Neff	KB007912:14,339..18,595(+)	NAD+ dependent glutamate dehydrogenase	N/A	glutamate dehydrogenase (NAD+) activity;oxidoreductase activity	IEA	1.4.1.2 (Glutamate dehydrogenase)	
ACA1_046660	ACA1_046660-t26_1	A. castellanii str. Neff	KB007894:161,994..167,520(+)	valine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	IEA	N/A	
ACA1_057120	ACA1_057120-t26_1	A. castellanii str. Neff	KB007974:51,971..53,833(+)	AlanyltRNA synthetase, putative	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_062480	ACA1_062480-t26_1	A. castellanii str. Neff	KB007974:1,201,708..1,204,279(-)	aspartate-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
ACA1_062560	ACA1_062560-t26_1	A. castellanii str. Neff	KB007974:1,229,200..1,231,956(+)	arginine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_063510	ACA1_063510-t26_1	A. castellanii str. Neff	KB007974:1,435,706..1,441,425(-)	5methyltetrahydrofolate-homocysteine methyltransferase	N/A	cobalamin binding;metal ion binding;methionine synthase activity;zinc ion binding	IEA	2.1.1.13 (Methionine synthase)	
ACA1_064920	ACA1_064920-t26_1	A. castellanii str. Neff	KB007974:1,722,478..1,724,773(+)	branchedchain amino acid aminotransferase	N/A	branched-chain-amino-acid transaminase activity;catalytic activity	IEA	N/A	
ACA1_066120	ACA1_066120-t26_1	A. castellanii str. Neff	KB007974:1,999,091..2,002,381(-)	proline-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
ACA1_069650	ACA1_069650-t26_1	A. castellanii str. Neff	KB007857:499,404..502,200(-)	glycine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_069770	ACA1_069770-t26_1	A. castellanii str. Neff	KB007857:551,610..553,932(+)	tyrosine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tRNA binding;tyrosine-tRNA ligase activity	IEA	6.1.1.1 (Tyrosine--tRNA ligase)	
ACA1_072800	ACA1_072800-t26_1	A. castellanii str. Neff	KB007857:1,298,540..1,300,581(+)	methionine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;methionine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_072840	ACA1_072840-t26_1	A. castellanii str. Neff	KB007857:1,306,369..1,308,386(+)	kynureninase	N/A	kynureninase activity;pyridoxal phosphate binding	IEA	3.7.1.3 (Kynureninase)	
ACA1_075360	ACA1_075360-t26_1	A. castellanii str. Neff	KB007842:184,620..186,411(-)	diaminopimelate epimerase	N/A	diaminopimelate epimerase activity	IEA	N/A	
ACA1_076880	ACA1_076880-t26_1	A. castellanii str. Neff	KB008074:172,519..175,383(+)	alanine-tRNA ligase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
ACA1_080060	ACA1_080060-t26_1	A. castellanii str. Neff	KB007874:5,799..7,834(+)	L-asparaginase I, putative	N/A	asparaginase activity	IEA	N/A	
ACA1_081100	ACA1_081100-t26_1	A. castellanii str. Neff	KB007874:89,120..92,325(-)	prephenate dehydratase	N/A	chorismate mutase activity;prephenate dehydratase activity	IEA	N/A	
ACA1_082160	ACA1_082160-t26_1	A. castellanii str. Neff	KB008064:15,072..17,294(+)	Enolase-phosphatase E1, putative	N/A	acireductone synthase activity;hydrolase activity;magnesium ion binding	IEA	N/A	
ACA1_087600	ACA1_087600-t26_1	A. castellanii str. Neff	KB007985:66,599..68,093(-)	3deoxy-7-phosphoheptulonate synthase	N/A	3-deoxy-7-phosphoheptulonate synthase activity	IEA	N/A	
ACA1_093130	ACA1_093130-t26_1	A. castellanii str. Neff	KB008103:489,333..491,355(+)	tryptophan-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	IEA	N/A	
ACA1_093830	ACA1_093830-t26_1	A. castellanii str. Neff	KB008103:652,280..656,972(-)	isoleucine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;isoleucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_095090	ACA1_095090-t26_1	A. castellanii str. Neff	KB008103:809,454..811,677(+)	tyrosine-tRNA ligase	N/A	ATP binding;RNA binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	6.1.1.1 (Tyrosine--tRNA ligase)	
ACA1_097970	ACA1_097970-t26_1	A. castellanii str. Neff	KB008103:1,363,625..1,366,373(+)	methionine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;methionine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_099960	ACA1_099960-t26_1	A. castellanii str. Neff	KB008097:8,009..9,320(+)	diaminopimelate epimerase	N/A	diaminopimelate epimerase activity	IEA	N/A	
ACA1_100140	ACA1_100140-t26_1	A. castellanii str. Neff	KB008097:44,334..46,397(-)	aspartyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_100420	ACA1_100420-t26_1	A. castellanii str. Neff	KB008097:72,518..74,992(+)	glycine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_101510	ACA1_101510-t26_1	A. castellanii str. Neff	KB008133:78,684..82,604(+)	leucine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_108260	ACA1_108260-t26_1	A. castellanii str. Neff	KB008174:22,573..24,588(-)	prenylcysteine oxidase	N/A	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor	IEA	N/A	
ACA1_109790	ACA1_109790-t26_1	A. castellanii str. Neff	KB007806:27,289..31,108(+)	glutamate5-semialdehyde dehydrogenase	N/A	catalytic activity;glutamate-5-semialdehyde dehydrogenase activity;oxidoreductase activity	IEA	1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase);2.7.2.11 (Glutamate 5-kinase)	
ACA1_110280	ACA1_110280-t26_1	A. castellanii str. Neff	KB007806:81,311..83,825(-)	cysteine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
ACA1_110450	ACA1_110450-t26_1	A. castellanii str. Neff	KB007806:128,167..129,401(-)	glutamine synthetase	N/A	catalytic activity;glutamate-ammonia ligase activity	IEA	6.3.1.2 (Glutamine synthetase)	
